feature	Tyzzerella_nexilis
AE1332	NA
AK1371	NA
AM1310	NA
AP1348	NA
AT1302	NA
EH1307	NA
EP1341	NA
HP1337	1
JE1361	NA
JH1373	NA
JL1316	NA
JM1360	NA
JP1303	NA
JS1364	NA
JV1357	NA
KH1326	NA
KK1376	NA
KL1367	NA
LK1306	NA
MK1353	NA
ML1319	NA
ML1375	NA
MM1317	NA
MM1328	NA
MR1334	NA
MS1330	NA
MV1301	NA
PH1308	NA
PK1324	NA
RA1309	NA
RS1345	1
SO1346	NA
TJ1356	NA
TK1342	NA
TL1338	NA
AE2332	NA
AK2371	NA
AM2310	NA
AP2348	NA
AT2302	NA
EH2307	NA
EP2341	NA
HP2337	NA
JE2361	NA
JH2373	NA
JL2316	NA
JM2360	NA
JP2303	NA
JS2364	NA
JV2357	NA
KH2326	NA
KK2376	NA
KL2367	NA
LK2306	NA
MK2353	NA
ML2319	NA
ML2375	NA
MM2317	NA
MM2328	NA
MR2334	NA
MS2330	NA
MV2301	NA
PH2308	NA
PK2324	NA
RA2309	NA
RS2345	1
SO2346	NA
TJ2356	NA
TK2342	NA
TL2338	NA
AH1343	NA
AK1351	NA
AM1314	1
AN1355	NA
AS1315	NA
EK1349	NA
ET1331	NA
HL1333	NA
HN1327	NA
HT1321	NA
IM1354	NA
JA1369	NA
JK1312	NA
KK1350	NA
KM1329	NA
LT1311	NA
MK1305	NA
MO1363	NA
MR1322	NA
MS1370	NA
NK1335	NA
PH1339	NA
PH1359	NA
PK1313	NA
PT1325	NA
RK1372	NA
RS1366	NA
SH1365	NA
SK1377	NA
SN1320	NA
SS1323	1
SV1318	NA
TS1358	NA
VK1336	NA
AH2343	NA
AK2351	NA
AM2314	1
AN2355	1
AS2315	NA
EK2349	NA
ET2331	NA
HL2333	NA
HN2327	1
HT2321	NA
IM2354	NA
JA2369	NA
JK2312	NA
KK2350	NA
KM2329	NA
LT2311	NA
MK2305	NA
MO2363	NA
MR2322	NA
MS2370	NA
NK2335	NA
PH2339	NA
PH2359	NA
PK2313	NA
PT2325	NA
RK2372	NA
RS2366	NA
SH2365	NA
SK2377	NA
SN2320	NA
SS2323	NA
SV2318	NA
TS2358	NA
VK2336	NA
